Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
10 Jun 2023,04,05,21,26,27,34,33
07 Jun 2023,07,10,11,22,25,37,16
03 Jun 2023,05,09,13,29,46,47,33
31 May 2023,12,30,35,36,38,46,19
27 May 2023,02,09,24,28,33,43,03
24 May 2023,03,20,21,25,31,37,29
20 May 2023,06,07,11,15,25,42,36
17 May 2023,03,06,10,25,34,39,18
13 May 2023,02,06,21,32,35,38,19
10 May 2023,06,26,27,40,41,45,46
06 May 2023,08,11,12,21,26,37,09
03 May 2023,03,06,07,10,39,40,43
29 Apr 2023,01,15,25,26,27,31,33
26 Apr 2023,02,21,26,33,35,43,03
22 Apr 2023,06,07,08,22,25,40,11
19 Apr 2023,19,21,25,28,38,45,35
15 Apr 2023,01,04,07,12,18,32,20
12 Apr 2023,05,09,14,27,39,42,47
08 Apr 2023,08,09,15,18,22,42,06
05 Apr 2023,05,10,14,23,27,31,30
01 Apr 2023,11,12,19,24,25,26,34
29 Mar 2023,12,14,32,37,40,44,35
25 Mar 2023,07,15,22,37,39,41,04
22 Mar 2023,01,05,16,17,33,35,08
18 Mar 2023,05,09,11,13,24,47,41
15 Mar 2023,14,29,36,37,40,46,41
11 Mar 2023,13,22,30,33,39,46,31
08 Mar 2023,10,17,20,26,31,39,16
04 Mar 2023,03,04,08,40,41,44,12
01 Mar 2023,01,06,12,23,24,34,10
25 Feb 2023,04,06,14,20,22,33,45
22 Feb 2023,07,11,20,34,36,45,17
18 Feb 2023,01,26,34,35,36,43,22
15 Feb 2023,03,11,13,25,35,39,10
11 Feb 2023,20,21,25,31,37,39,41
08 Feb 2023,03,14,26,27,38,46,39
04 Feb 2023,06,13,14,15,26,42,34
01 Feb 2023,01,06,15,20,34,38,39
28 Jan 2023,04,17,30,34,38,45,15
25 Jan 2023,08,12,14,20,27,42,10
21 Jan 2023,07,29,32,33,44,46,38
18 Jan 2023,01,06,19,39,43,47,32
14 Jan 2023,04,20,23,26,35,42,07
11 Jan 2023,02,10,16,17,29,47,07
07 Jan 2023,09,10,25,32,34,38,23
04 Jan 2023,18,29,36,38,40,43,30
31 Dec 2022,09,10,18,33,44,47,38
28 Dec 2022,01,18,20,27,36,45,10
24 Dec 2022,04,18,21,30,41,45,44
21 Dec 2022,17,20,21,23,31,45,24
17 Dec 2022,23,24,37,42,45,46,20
14 Dec 2022,10,11,15,18,20,33,13
10 Dec 2022,02,06,21,33,35,36,13
07 Dec 2022,04,08,11,26,38,46,47
03 Dec 2022,05,12,30,40,41,47,44
30 Nov 2022,02,23,30,32,35,37,09
26 Nov 2022,02,14,18,20,22,35,34
23 Nov 2022,09,21,22,24,30,46,05
19 Nov 2022,17,21,27,40,42,45,18
16 Nov 2022,04,10,35,36,38,43,33
12 Nov 2022,06,12,22,27,42,46,47
09 Nov 2022,02,09,33,35,37,41,26
05 Nov 2022,08,12,18,20,23,43,25
02 Nov 2022,01,06,29,37,42,44,40
29 Oct 2022,12,16,20,26,45,46,10
26 Oct 2022,15,22,25,27,32,45,42
22 Oct 2022,02,09,14,25,28,38,27
19 Oct 2022,11,13,19,31,41,46,03
15 Oct 2022,07,19,24,30,36,44,41
12 Oct 2022,01,11,14,19,27,39,44
08 Oct 2022,02,21,26,27,34,35,05
05 Oct 2022,03,08,20,24,28,29,40
01 Oct 2022,12,22,28,29,36,44,43
28 Sep 2022,16,20,30,33,45,47,46
24 Sep 2022,11,16,17,26,27,29,19
21 Sep 2022,02,10,18,28,42,44,46
17 Sep 2022,04,08,16,29,37,44,19
14 Sep 2022,02,14,24,30,38,44,29
10 Sep 2022,14,16,31,41,44,47,46
07 Sep 2022,08,11,16,24,35,40,20
03 Sep 2022,09,10,11,12,16,36,18
31 Aug 2022,10,25,27,34,36,38,29
27 Aug 2022,04,15,22,25,35,43,19
24 Aug 2022,03,12,27,34,37,41,20
20 Aug 2022,14,21,24,35,38,41,27
17 Aug 2022,02,12,21,36,42,44,34
13 Aug 2022,03,05,07,29,35,47,46
10 Aug 2022,03,10,21,25,29,36,19
06 Aug 2022,08,20,26,30,36,46,38
03 Aug 2022,09,10,17,32,33,39,47
30 Jul 2022,03,07,09,15,32,38,12
27 Jul 2022,02,11,33,40,44,46,45
23 Jul 2022,11,17,35,39,40,46,04
20 Jul 2022,15,18,19,28,31,40,41
16 Jul 2022,02,12,26,28,29,32,40
13 Jul 2022,13,17,22,24,29,38,46
09 Jul 2022,18,29,35,39,40,45,42
06 Jul 2022,05,16,18,20,25,35,02
02 Jul 2022,01,15,17,21,34,42,47
29 Jun 2022,01,09,17,25,30,31,39
25 Jun 2022,02,06,27,28,41,45,39
22 Jun 2022,03,16,20,34,35,37,23
18 Jun 2022,04,16,21,27,45,47,26
15 Jun 2022,07,23,27,38,46,47,32
11 Jun 2022,01,06,22,28,29,34,44
08 Jun 2022,03,05,08,30,35,43,40
04 Jun 2022,09,16,28,34,35,43,26
01 Jun 2022,05,15,20,37,41,42,02
28 May 2022,06,17,27,33,40,41,38
25 May 2022,09,13,15,18,21,27,11
21 May 2022,20,26,29,41,42,45,01
18 May 2022,04,13,30,40,45,47,11
14 May 2022,10,11,18,20,35,47,32
11 May 2022,11,14,17,25,37,43,34
07 May 2022,01,31,35,39,42,46,45
04 May 2022,22,25,27,32,37,43,31
30 Apr 2022,02,14,18,20,31,43,12
27 Apr 2022,07,20,26,34,35,40,47
23 Apr 2022,06,15,18,35,43,47,26
20 Apr 2022,12,21,22,25,39,42,46
16 Apr 2022,11,13,15,17,30,47,02
13 Apr 2020,20,22,32,35,36,40,47
09 Apr 2022,04,07,17,24,29,42,15
06 Apr 2022,13,19,22,30,32,44,37
02 Apr 2022,02,05,10,24,37,41,11
30 Mar 2022,06,09,12,29,36,40,31
26 Mar 2022,01,04,05,27,36,45,41
23 Mar 2022,03,09,16,19,29,31,34
19 Mar 2022,06,08,38,39,45,47,40
16 Mar 2022,20,21,27,30,41,44,26
12 Mar 2022,13,21,28,37,45,46,33
09 Mar 2022,15,26,28,29,36,43,39
05 Mar 2022,01,02,21,29,38,43,03
02 Mar 2022,10,14,28,32,38,41,42
26 Feb 2022,01,08,16,33,36,39,05
23 Feb 2022,01,07,28,33,35,45,15
19 Feb 2022,01,06,16,30,31,46,44
16 Feb 2022,01,03,09,14,33,43,26
12 Feb 2022,06,19,30,31,33,43,40
09 Feb 2022,03,23,27,32,35,37,07
05 Feb 2022,01,07,08,13,30,35,40
02 Feb 2022,09,10,25,38,43,44,27
29 Jan 2022,07,10,26,35,43,45,46
26 Jan 2022,02,17,19,22,36,45,32
22 Jan 2022,05,11,19,32,35,38,12
19 Jan 2022,21,23,24,27,35,36,22
15 Jan 2022,02,09,16,30,37,40,23
12 Jan 2022,05,07,10,19,21,35,36
08 Jan 2022,04,08,19,35,36,41,23
05 Jan 2022,08,24,36,38,41,45,16
01 Jan 2022,04,05,21,24,25,41,01
29 Dec 2021,22,25,28,32,35,47,15
25 Dec 2021,11,17,19,23,26,43,31
22 Dec 2021,02,05,13,22,36,43,03
18 Dec 2021,05,08,12,13,25,26,09
15 Dec 2021,04,10,21,27,41,42,18
11 Dec 2021,02,12,20,24,43,46,21
08 Dec 2021,03,15,19,23,31,39,05
04 Dec 2021,07,10,26,27,35,43,12
01 Dec 2021,01,08,14,33,38,40,30
27 Nov 2021,01,05,15,23,39,47,30
24 Nov 2021,08,10,19,31,41,43,29
20 Nov 2021,09,14,22,32,38,42,05
17 Nov 2021,06,07,14,22,32,46,47
13 Nov 2021,07,20,23,33,36,44,10
10 Nov 2021,06,20,29,33,37,42,27
06 Nov 2021,05,06,09,15,19,25,18
03 Nov 2021,01,11,15,30,31,43,22
30 Oct 2021,05,06,17,22,33,41,34
27 Oct 2021,03,11,25,32,40,45,05
23 Oct 2021,05,10,12,23,28,47,16
20 Oct 2021,12,19,21,33,44,46,01
16 Oct 2021,01,07,20,21,24,44,19
13 Oct 2021,09,15,39,41,44,47,27
09 Oct 2021,05,13,18,25,34,38,07
06 Oct 2021,05,06,09,31,35,45,12
02 Oct 2021,12,17,18,21,33,37,23
29 Sep 2021,06,18,27,33,37,45,42
25 Sep 2021,03,07,11,28,31,43,46
22 Sep 2021,04,11,16,21,36,40,08
18 Sep 2021,09,14,22,24,37,44,45
15 Sep 2021,01,02,09,13,21,34,47
11 Sep 2021,20,23,36,37,38,39,32
08 Sep 2021,01,05,18,22,32,45,38
04 Sep 2021,22,29,30,31,44,45,06
01 Sep 2021,04,11,12,18,25,39,40
28 Aug 2021,04,14,25,27,42,45,02
25 Aug 2021,01,21,28,30,43,45,02
21 Aug 2021,03,12,13,23,36,47,16
18 Aug 2021,06,18,36,41,46,47,32
14 Aug 2021,09,15,25,30,32,34,43
11 Aug 2021,25,31,32,41,43,46,45
07 Aug 2021,14,15,29,34,41,46,09
04 Aug 2021,01,02,10,16,21,32,18
31 Jul 2021,08,11,29,42,44,46,18
28 Jul 2021,01,14,18,23,30,32,04
24 Jul 2021,04,12,25,26,27,44,08
21 Jul 2021,20,24,27,32,39,43,25
17 Jul 2021,12,16,23,26,34,45,13
14 Jul 2021,03,09,11,27,29,47,34
10 Jul 2021,17,27,30,35,42,47,34
07 Jul 2021,04,18,26,30,31,37,08
03 Jul 2021,29,30,36,38,44,45,25
30 Jun 2021,33,38,39,40,43,45,18
26 Jun 2021,10,14,21,22,35,44,13
23 Jun 2021,01,04,15,29,38,40,31
19 Jun 2021,10,14,33,40,42,45,08
16 Jun 2021,01,14,22,28,37,45,25
12 Jun 2021,05,10,17,22,29,36,25
09 Jun 2021,07,11,28,29,35,40,12
05 Jun 2021,10,16,17,24,26,42,35
02 Jun 2021,12,14,22,25,26,40,33
29 May 2021,09,15,28,34,39,46,26
26 May 2021,05,08,16,22,30,31,12
22 May 2021,01,05,12,23,45,46,41
19 May 2021,03,05,06,27,29,39,36
15 May 2021,02,08,15,31,37,44,03
12 May 2021,01,06,14,19,31,47,02
08 May 2021,02,04,14,21,41,42,28
05 May 2021,08,19,21,22,34,47,15
01 May 2021,01,04,16,23,26,35,31
28 Apr 2021,01,03,26,27,41,47,16
24 Apr 2021,05,11,16,41,43,47,14
21 Apr 2021,17,18,19,27,30,46,12
17 Apr 2021,18,21,27,29,34,47,46
14 Apr 2021,04,14,20,23,27,37,39
10 Apr 2021,04,11,18,21,33,35,16
07 Apr 2021,23,27,39,40,41,42,17
03 Apr 2021,15,17,23,32,35,45,46
31 Mar 2021,02,05,08,24,43,47,45
27 Mar 2021,05,09,13,34,37,40,26
24 Mar 2021,04,17,23,37,40,44,07
20 Mar 2021,04,27,37,43,44,46,32
17 Mar 2021,01,07,20,26,43,45,37
13 Mar 2021,02,05,07,10,24,46,38
10 Mar 2021,06,26,31,38,39,47,22
06 Mar 2021,03,14,17,18,38,47,46
03 Mar 2021,15,20,25,32,44,47,40
27 Feb 2021,15,29,34,38,40,43,14
24 Feb 2021,02,10,12,13,38,40,17
20 Feb 2021,16,27,34,35,37,45,28
17 Feb 2021,06,07,13,19,21,45,15
13 Feb 2021,11,12,21,30,35,38,36
10 Feb 2021,01,08,31,32,33,39,46
06 Feb 2021,01,09,22,34,41,43,20
03 Feb 2021,08,09,26,41,42,44,06
30 Jan 2021,07,17,21,28,38,41,23
27 Jan 2021,07,24,27,33,34,40,30
23 Jan 2021,05,11,15,19,33,40,08
20 Jan 2021,10,15,18,23,28,33,38
16 Jan 2021,12,17,22,32,38,39,40
13 Jan 2021,12,18,29,32,34,44,09
09 Jan 2021,10,17,42,43,45,47,37
06 Jan 2021,08,10,14,23,39,47,05
02 Jan 2021,03,06,18,26,42,47,01
